subtype	subtype2	name	cost		damage	critical	range	weight	damagetype	properties	
Martial	Ranged 	Amentum		1d4	1d6	×2	50	1	Piercing	Performance	<p>An amentum is a long leather thong that attaches to a standard javelin. Before throwing, the amentum is wound about the javelin's shaft. You then throw the javelin while gripping the amentum, imparting spin on the weapon and greatly improving its range. Attaching an amentum to a javelin is a move action, and winding it is a full-round action. Javelins can be stored with amenta already wound about them. A javelin wound with an amentum is considered a martial weapon.</p>
Martial	Ranged 	Atlatl	2 gp	1d4	1d6	×2	50	2	Piercing		<p>This Stone Age weapon is a thin piece of wood or antler used as a lever to hurl a specially fitted dart. An atlatl gives much greater range to a dart, but must be loaded like a projectile weapon. Your Strength modifier applies to damage rolls when you use an atlatl, just as it does for thrown weapons. You can fire—but not load—an atlatl with one hand. Loading an atlatl is a move action that requires two hands and provokes attacks of opportunity. The Rapid Reload feat can be taken for atlatls, allowing you to load a dart as a free action.</p>
Martial	Ranged 	Chakram	1 gp	1d6	1d8	×2	30	1	Slashing		<p>The chakram is a simple, elegant, and highly portable thrown weapon. It is a flat, open-centered metal discus with a sharpened edge. You can wield the chakram as a melee weapon, but it is not designed for such use; you take a –1 penalty on your attack roll with the weapon and must succeed at a DC 15 Reflex save or cut yourself on the blade (half damage, no Strength modifier). You do not need to make this save if wearing heavy armor.</p>
Martial	Ranged 	Composite longbow	100 gp	1d6	1d8	×3	110	3	Piercing		<p>You need at least two hands to use a bow, regardless of its size. You can use a composite longbow while mounted. All composite bows are made with a particular strength rating (that is, each requires a minimum Strength modifier to use it with proficiency). If your Strength modifier is less than the strength rating of the composite bow, you can't effectively use it, so you take a –2 penalty on attacks with it. The default composite longbow requires a Strength modifier of +0 or higher to use with proficiency. A composite longbow can be made with a high strength rating to take advantage of an above-average Strength score; this feature allows you to add your Strength modifier on damage rolls, up to the maximum bonus indicated for the bow. Each point of Strength bonus granted by the bow adds 100 gp to its cost. If you have a negative modifier due to low Strength, apply it to damage rolls when you use a composite longbow. A composite longbow fires arrows.</p><p>For the purposes of Weapon Proficiency and similar feats, a composite longbow is treated as if it were a longbow.</p>
Martial	Ranged 	Composite shortbow	75 gp	1d4	1d6	×3	70	2	Piercing		<p>You need at least two hands to use a bow, regardless of its size. You can use a composite shortbow while mounted. All composite bows are made with a particular strength rating (that is, each requires a minimum Strength modifier to use with proficiency). If your Strength modifier is lower than the strength rating of the composite bow, you can't effectively use it, so you take a –2 penalty on attacks with it. The default composite shortbow requires a Strength modifier of +0 or higher to use with proficiency. A composite shortbow can be made with a high strength rating to take advantage of an above-average Strength score; this feature allows you to add your Strength modifier on damage rolls, up to the maximum bonus indicated for the bow. Each point of Strength bonus granted by the bow adds 75 gp to its cost. you have a negative modifier due to low Strength, apply it to damage rolls when you use a composite shortbow. A composite shortbow fires arrows.</p><p>For the purposes of Weapon Proficiency, Weapon Focus, and similar feats, a composite shortbow is treated as if it were a shortbow.</p>
Martial	Ranged 	Hunga munga	4 gp	1d4	1d6	×2	15	3	Piercing		<p>Also called a mambele, danisco, goleyo, njiga, or any of many lesser-known names, this three-bladed dagger is intended for throwing but can be used as a melee weapon. Though the basic three-blade design is most common, hunga mungas can take a wide variety of forms.</p>
Martial	Ranged 	Longbow	75 gp	1d6	1d8	×3	100	3	Piercing		<p>At almost 5 feet in height, a longbow is made up of one solid piece of carefully curved wood. You need two hands to use a bow, regardless of its size. A longbow can't be used while mounted. If you have a penalty for low Strength, apply it to damage rolls when you use a longbow. You can apply your Strength modifier to damage rolls when you use a composite longbow, but not a regular longbow. A longbow fires arrows.</p>
Martial	Ranged 	Pilum	5 gp	1d6	1d8	×2	20	4	Piercing	See text	<p>The tip of this heavy javelin is designed to break off and embed itself into a shield once it hits. Like ammunition, a thrown pilum that hits its target is destroyed. If you hit a shield-bearing opponent with a pilum, he loses the AC bonuses from that shield until he takes a standard action to pry the remnants of the pilum from his shield.</p>
Martial	Ranged 	Poisoned sand tube	1 gp	Special	Special			1		See text	<p>Resembling a slim scroll case made of bamboo or metal, this tube is filled with fine sand that is soaked or coated with inhaled or contact poison. When loaded with 3 doses of these types of poison, you can blow into the tube to disperse the poisoned sand into your enemies' faces in a 15-foot cone. Each creature in the cone is affected as if afflicted with 1 dose of the poison. Even when loaded with unpoisoned sand, the tube lets loose a powerful irritant, and an opponent struck must succeed at a DC 12 Fortitude saving throw or be dazzled for 1 round. Once expended, the tube must be repacked before it can be used again. Repacking a tube requires a full-round action, or a standard action if you have the Rapid Reload feat.</p>
Martial	Ranged 	Shortbow	30 gp	1d4	1d6	×3	60	2	Piercing		<p>A shortbow is made up of one piece of wood about 3 feet in length. You need two hands to use a bow, regardless of its size. You can use a shortbow while mounted. If you have a penalty for low Strength, apply it to damage rolls when you use a shortbow. If you have a bonus for high Strength, you can apply it to damage rolls when you use a composite shortbow, but not a regular shortbow. A shortbow fires arrows.</p>
Martial	Ranged 	Tube arrow shooter	3 gp	1d3	1d4	×2	40	0.5	Piercing		<p>This weapon consists of a small metal tube hidden within a sleeve; the tube holds a short, spring-loaded bamboo shaft. You gain a +2 bonus on Sleight of Hand checks made to conceal a tube arrow shooter on your body. Releasing the fastener allows the spring to force the arrow out. Once a shaft is fired, the tube must be reloaded before it can be used again. Reloading a tube is a full-round action, or a standard action if the wielder has the Rapid Reload feat.</p>
Exotic	Light Melee 	Aklys	5 gp	1d6	1d8	×2	20	2	Bludgeoning	Performance, trip	<p>The aklys is a hooked throwing club with a 20-foot-long cord, usually of woven leather; you can retrieve the aklys after throwing it as a move action. The hook allows you to make trip attacks at range. Some aklyses have holes drilled through them and whistle when flung.</p>
Exotic	Light Melee 	Dan bong	1 sp	1d2	1d3	19-20/×2	10		Bludgeoning	Blocking, monk, see text	<p>These short, blunt sticks are held in the hands to enhance unarmed martial techniques and secured by a cord looped over the thumb. They provide the wielder with the ability to lock an opponent and target pressure points, granting you a +2 bonus on combat maneuver checks to grapple.</p>
Exotic	Light Melee 	Emei piercer	3 gp	1d2	1d3	19-20/×2			Piercing	See text	<p>This weapon is used to augment unarmed martial techniques. It consists of an 8- to 10-inch-long, dual-pointed steel spike set on swivels and mounted on a ring, so that it can be spun around at high speeds when slipped over the wielder's ring finger. The ring prevents the wielder from being disarmed and turns unarmed strikes into piercing attacks.</p>
Exotic	Light Melee 	Fighting fan	5 gp	1d3	1d4	×3			Piercing	Distracting, monk	<p>Made to resemble a courtier's fan, this device consists of silk paper stretched and folded over a folding frame of hardened steel. Folding fans are typically wielded in pairs using a technique that distracts the opponent. The fans sport sharp tips, which can be poisoned. For a list of appropriate poisons, see Poisons on page 110.</p>
Exotic	Light Melee 	Kama	2 gp	1d4	1d6	×2		2	Slashing	Monk, trip	<p>Similar to a sickle—and in some regions still used to reap grain—a kama is a short, curved blade attached to a simple handle, usually made of wood. It is sometimes also referred to as a kai, and is frequently used in pairs by martial artists.</p>
Exotic	Light Melee 	Knuckle axe	9 gp	1d4	1d6	×3		2	Slashing	Monk, performance	<p>Knuckle axes, usually used in pairs, resemble axe blades mounted on brass knuckles. You may hold, but not wield, a weapon or other object in a hand wearing a knuckle axe. Unlike when wearing brass knuckles, you cannot use a hand wearing a knuckle axe for spellcasting.</p>
Exotic	Light Melee 	Madu (leather)	40 gp	1d3	1d4	×2		5	Piercing	Performance	<p>The madu is a round, light leather shield with two animal horns—usually from an antelope—extending from opposite sides. If you are proficient with the madu, you may use it to fight defensively with a –2 penalty instead of the normal –4, and your attack penalty for using Combat Expertise improves by +1 (minimum –1 penalty). You cannot hold anything else in the hand that bears a madu. If you are not proficient with the it, treat it as a light spiked shield. A madu can't be disarmed. It can be crafted entirely out of metal, but both versions offer the same basic protection and attack benefits, though they respond differently to some spells and effects. A druid can use a leather madu, but not a steel madu.</p>
Exotic	Light Melee 	Madu (steel)	50 gp	1d3	1d4	×2		6	Piercing	Performance	<p>The madu is a round, light leather shield with two animal horns—usually from an antelope—extending from opposite sides. If you are proficient with the madu, you may use it to fight defensively with a –2 penalty instead of the normal –4, and your attack penalty for using Combat Expertise improves by +1 (minimum –1 penalty). You cannot hold anything else in the hand that bears a madu. If you are not proficient with the it, treat it as a light spiked shield. A madu can't be disarmed. It can be crafted entirely out of metal, but both versions offer the same basic protection and attack benefits, though they respond differently to some spells and effects. A druid can use a leather madu, but not a steel madu.</p>
Exotic	Light Melee 	Nunchaku	2 gp	1d4	1d6	×2		2	Bludgeoning	Disarm, monk	<p>A nunchaku is made up of two wooden or metal bars connected by a short length of rope or chain.</p>
Exotic	Light Melee 	Pata	14 gp	1d4	1d6	×3		3	Piercing	Performance	<p>An evolution of the punching dagger, the pata is a short sword that ends in a full, fingerless gauntlet hilt. You punch rather than stab with the weapon, allowing you to put more force behind each strike. While wearing a pata, you cannot use that hand for anything else. A pata provides a +10 bonus to your CMD against disarm attempts.</p>
Exotic	Light Melee 	Quadrens	8 gp	1d4	1d6	19-20/×2		2	Piercing	Performance	<p>A quadrens looks similar to a sturdy dagger, but with four spikes mounted in a square pattern in place of a blade. When you score a critical hit with a quadrens, the resulting gaping wound causes 1 point of bleed damage. In addition to punching through hide and armor, the spikes can also be used to snag opponents' blades and twist them out of their grips.</p>
Exotic	Light Melee 	Sai	1 gp	1d3	1d4	×2		1	Bludgeoning	Disarm, monk	<p>A sai is a metal spike flanked by a pair of prongs used to trap an enemy's weapon. When wielding a sai, you get a +2 bonus on combat maneuver checks to sunder an enemy's weapon. Though pointed, a sai is not usually used for stabbing. Instead, it is used primarily to bludgeon foes, punching with the hilt, or else to catch and disarm weapons between its tines. Sais are often wielded in pairs.</p>
Exotic	Light Melee 	Scorpion whip	5 gp	1d3	1d4	×2		3	Slashing	Performance	<p>This whip has a series of razor-sharp blades and fangs inset along its tip. It deals lethal damage, even to creatures with armor bonuses. If you are proficient with whips, you can use a scorpion whip as a whip.</p>
Exotic	Light Melee 	Siangham	3 gp	1d4	1d6	×2		1	Piercing	Monk	<p>This weapon is a handheld shaft fitted with a pointed tip for stabbing foes. It resembles a (much sturdier) arrow with a grip designed for melee combat.</p>
Exotic	Light Melee 	Sica	10 gp	1d4	1d6	×2		2	Slashing	Performance	<p>This blade is a smaller, lighter version of the shotel. You gain a +1 bonus on attack rolls with a sica against opponents using bucklers, light shields, or heavy shields.</p>
Exotic	Light Melee 	Swordbreaker dagger	10 gp	1d3	1d4	×2		3	Slashing	Disarm, see text	<p>You can use this dagger to disarm or sunder enemy blades by catching them in the grooves on the back of the blade and using your weapon as a lever. If you are proficient with this weapon, add a +4 bonus on combat maneuver checks to disarm or sunder bladed weapons while using it.</p>
Exotic	Light Melee 	Tekko-kagi	2 gp	1d2	1d3	×2			Piercing	Disarm, see text	<p>Also known as an iron claw, this device consists of a fanlike structure of three or more 10-inch blades secured to a sturdy handle strapped to the forearm of the off hand. It can be used as an offensive weapon or defensively like a buckler, or used to disarm an opponent without provoking an attack of opportunity. It provides its owner with a +2 circumstance bonus on attempts to disarm or sunder swords or other slender-bladed weapons.</p>
Exotic	Light Melee 	Wakizashi	35 gp	1d4	1d6	18-20/×2		2	Piercing or slashing	Deadly	<p>These short, slender blades are between 1 to 2 feet long. They are primarily used as back-up weapons, to decapitate defeated enemies, or to commit seppuku (ritual suicide) as a matter of honor. These blades are specifically worn by samurai and are intended to be paired with a katana. Together, this set of blades is referred to as a daisho.</p>
Exotic	One-Handed Melee 	Bastard sword	35 gp	1d8	1d10	19-20/×2		6	Slashing		<p>A bastard sword is about 4 feet in length, making it too large to use in one hand without special training; thus, it is an exotic weapon. You can use a bastard sword two-handed as a martial weapon.</p>
Exotic	One-Handed Melee 	Dwarven waraxe	30 gp	1d8	1d10	×3		8	Slashing		<p>A dwarven waraxe has a large, ornate head mounted on a thick handle, making it too large to use in one hand without special training; thus, it is an exotic weapon. A Medium character can use a dwarven waraxe two-handed as a martial weapon, or a Large creature can use it one-handed in the same way. A dwarf treats a dwarven waraxe as a martial weapon even when using it in one hand.</p>
Exotic	One-Handed Melee 	Falcata	18 gp	1d6	1d8	19-20/×3		4	Slashing		<p>This heavy blade has a single sharp edge, concave at the bottom and convex at the top, with a hook-shaped hilt. Its shape distributes the weight to give it the momentum of an axe with the cutting edge of a sword, much like a larger version of a kukri. The hooked hilt is sometimes carved to resemble the head of a horse or bird of prey, and may have a thin chain stretched across its opening, acting as a partial guard for the hand and fingers.</p>
Exotic	One-Handed Melee 	Great terbutje	12 gp	1d8	1d10	19-20/×2		4	Slashing	Fragile	<p>This Stone Age weapon is a 4-foot-long version of the terbutje. It is too large to use in one hand without special training; thus, it is an exotic weapon. You can use a great terbutje two-handed as a martial weapon.</p>
Exotic	One-Handed Melee 	Hooked axe	20 gp	1d6	1d8	×3		7	Slashing	Disarm, performance, trip	<p>The hooked end of this axe's blade can be used to disarm foes or pull them off balance. A hooked axe can be used as a martial weapon (in which case it functions like a battleaxe).</p>
Exotic	One-Handed Melee 	Katana	50 gp	1d6	1d8	18-20/×2		6	Slashing	Deadly	<p>Specifically constructed for samurai, katanas employ multiple types of steel combined in a distinctive forging process. The result are swords noted for their wickedly sharp yet slender, gently curved blades, designed to make graceful hacking strokes capable of severing opponents' heads and limbs. Though finely balanced, these blades are difficult to master. Characters can use a katana two-handed as a martial weapon, but must take the Exotic Weapon Proficiency (katana) feat to use it one-handed.</p>
Exotic	One-Handed Melee 	Khopesh	20 gp	1d6	1d8	19-20/×2		8	Slashing	Trip	<p>This heavy blade has a convex curve near the end, making its overall shape similar to that of a battleaxe. A typical khopesh is 20 to 24 inches in length. Its curved shape allows the wielder to hook around defenses and trip foes. The elegant shape of a khopesh leads some artisans to cover them in ornate decorations.</p>
Exotic	One-Handed Melee 	Nine-section whip	8 gp	1d6	1d8	19-20/×2		3	Bludgeoning	Blocking, distracting, monk, trip	<p>The nine-section whip consists of steel bars linked together. The final bar is a 6-inch weighted spike. This weapon can be wielded as a single-handed weapon, a two-handed weapon, or in pairs. Nine-section whips often have colored cloth flags attached to the ends to make them easier to control.</p>
Exotic	One-Handed Melee 	Rhoka sword	25 gp	1d6	1d8	18-20/×2		6	Slashing		<p>This sword is used almost exclusively by the life-hating urdefhans (<i>Bestiary 2</i> 276). The sword is the size of a longsword but consists of two serrated blades placed side by side.</p>
Exotic	One-Handed Melee 	Sawtooth sabre	35 gp	1d6	1d8	19-20/×2		2	Slashing		<p>The signature weapon of certain assassin cults, the sawtooth sabre is a cruelly efficient weapon. You may use a sawtooth sabre as a Martial Weapon (in which case it functions identically to a longsword). If you have the Exotic Weapon Proficiency (sawtooth sabre) feat, for the purpose of two-weapon fighting you can treat it as a light melee weapon; for all other purposes it is a one-handed melee weapon.</p>
Exotic	One-Handed Melee 	Shotel	30 gp	1d6	1d8	×3		3	Piercing	Performance	<p>The shotel is a downward-curving sword designed to reach over or around an opponent's shield. You gain a +1 bonus on attack rolls with a shotel against opponents using bucklers, light shields, or heavy shields. The curve of a shotel's blade varies from sword to sword, and some models are double-edged, while others are single-edged, with the back edge able to be braced against a shield for additional power. Shotels are particularly useful for hooking mounted combatants and ripping them from their steeds.</p>
Exotic	One-Handed Melee 	Taiaha	10 gp	1d8/1d4	1d10/1d6	×2/×3		8	Bludgeoning or piercing	Double	<p>The Stone Age taiaha is a long, heavy stick, club-shaped at one end and tipped with a wooden or metal spear point at the other. You wield it with a combination of solid strikes with the club and fending motions with the spear. A taiaha can be wielded as a martial weapon that deals 1d8 points of bludgeoning damage (1d6 if Small) and has a ×2 critical.</p>
Exotic	One-Handed Melee 	Temple sword	30 gp	1d6	1d8	19-20/×2		3	Slashing	Monk, trip	<p>Heavy blades typically used by guardians of religious sites, temple swords have distinctive crescent-shaped blades, which appear to be an amalgam of sickle and sword. Many have holes drilled into the blade or the pommel so that charms, bells, or other holy trinkets can be attached to reflect the owner's devotion or to serve as foci for prayer or meditation. Monks are proficient with the temple sword.</p>
Exotic	One-Handed Melee 	Urumi	30 gp	1d6	1d8	18-20/×2		6	Slashing	Distracting	<p>Commonly known as a whip sword, this deadly weapon is fashioned from one to four 5-foot-long, razor-sharp blades of flexible steel, almost like a metal cat-o'-nine-tails. The weapon is wielded by whipping the blades at one's opponent. The coiled blade is fine and flexible enough to be worn as a belt, and its wielders often carry the blades wrapped around themselves in this fashion.</p>
Exotic	One-Handed Melee 	Wahaika	3 gp	1d4	1d6	×2	10	3	Bludgeoning	Disarm	<p>This short and broad Stone Age club is made of hardened wood or bone. It has a notch on one side that is used for catching weapons. If you are proficient with the weapon, you can use the notch in the wahaika to disarm your foes. Otherwise, treat this weapon as a club. Feats and abilities that affect clubs apply to the wahaika.</p>
Exotic	One-Handed Melee 	Whip	1 gp	1d2	1d3	×2		2	Slashing	Disarm, nonlethal, reach, trip	<p>A whip deals no damage to any creature with an armor bonus of +1 or higher or a natural armor bonus of +3 or higher. The whip is treated as a melee weapon with a 15-foot reach, though you don't threaten the area into which you can make an attack. In addition, unlike most other weapons with reach, you can use it against foes anywhere within your reach (including adjacent foes).</p><p>Using a whip provokes an attack of opportunity, just as if you had used a ranged weapon.</p><p>You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with a whip sized for you, even though it isn't a light weapon. You can't wield a whip in two hands in order to apply 1-1/2 times your Strength modifier to damage rolls.</p>
Exotic	Two-Handed Melee 	Bo staff	1 gp	1d4	1d6	×2		3	Bludgeoning	Blocking, double, monk	<p>Similar to a quarterstaff, only more slender and tapered at one end, the bo staff is both a defensive device and a weapon.</p>
Exotic	Two-Handed Melee 	Chain spear	15 gp	1d4/1d4	1d6/1d6	×2		13	Piercing and slashing	Trip	<p>This vicious weapon is often used in gladiatorial events due to its versatility. The body of the weapon is a standard short spear, primarily used for thrusting. The butt of the spear is fitted with a length of chain, often spiked, with a hook at the end. The hook and chain may be used to make trip attacks. If your trip attack fails by 10 or more, you may drop the chain spear to avoid being knocked prone.</p>
Exotic	Two-Handed Melee 	Dire flail	90 gp	1d6/1d6	1d8/1d8	×2		10	Bludgeoning	Disarm, double, trip	<p>A dire flail consists of two spheres of spiked iron dangling from chains at opposite ends of a long haft. This weapon excels at short but powerful strikes, and is typically swung in a constant churning motion. The wielder of a dire flail must have great strength, both to use the weapon effectively and to keep from tiring out.</p>
Exotic	Two-Handed Melee 	Double walking stick katana	50 gp	1d4/1d4	1d6/1d6	×3		6	Bludgeoning	Double	<p>This single case conceals a pair of matched fighting swords perfectly balanced to be wielded as a pair. Despite their name, the blades more closely resemble the shorter wakizashi. When the blades are concealed in their case, this weapon can be used as a quarterstaff.</p>
Exotic	Two-Handed Melee 	Double-chained kama	8 gp	1d4/1d4	1d6/1d6	×2		4	Slashing	Double, monk, reach, trip	<p>This weapon comprises a pair of kama connected with an 8-foot length of chain. The wielder can attack as if armed with a single kama in each hand or extend the chain to make a single reach attack. By swinging the chain, the wielder can whip the kama about to disarm or trip opponents. Furthermore, if one of the weapons is dropped, the wielder can retrieve it as a free action by pulling on the chain.</p>
Exotic	Two-Handed Melee 	Dwarven urgrosh	50 gp	1d6/1d4	1d8/1d6	×3		12	Piercing or slashing	Brace, double	<p>A dwarven urgrosh is a double weapon—an axe head and a spear point on opposite ends of a long haft. The urgrosh's axe head is a slashing weapon that deals 1d8 points of damage. Its spear head is a piercing weapon that deals 1d6 points of damage. You can use either head as the primary weapon; the other becomes the off-hand weapon. If you use an urgrosh against a charging character, the spear head is the part of the weapon that deals damage. Dwarves treat dwarven urgroshes as martial weapons.</p>
Exotic	Two-Handed Melee 	Elven curve blade	80 gp	1d8	1d10	18-20/×2		7	Slashing		<p>Essentially a longer version of a scimitar, but with a thinner blade, the elven curve blade is exceptionally rare. You receive a +2 circumstance bonus to your CMD whenever a foe attempts to sunder your elven curve blade because of its flexible metal.</p><p>You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier on attack rolls with an elven curve blade that is sized for you, even though it isn't a light weapon.</p>
Exotic	Two-Handed Melee 	Flying blade	40 gp	1d10	1d12	×3		12	Slashing	Performance, reach	<p>A flying blade is a large, crescent-shaped blade anchored to a 10-foot chain. You fight with a flying blade by spinning it about your head or by snapping it toward an opponent. Because the flying blade is a clumsy weapon, you receive a –2 penalty on attack rolls with it, but when you make attacks of opportunity provoked by movement, you receive a +2 bonus on attack rolls instead of the penalty.</p>
Exotic	Two-Handed Melee 	Gnome hooked hammer	20 gp	1d6/1d4	1d8/1d6	×3/×4		6	Bludgeoning or piercing	Double, trip	<p>A gnome hooked hammer is a double weapon—an ingenious tool with a hammer head at one end of its haft and a long, curved pick at the other. The hammer's blunt head is a bludgeoning weapon that deals 1d6 points of damage (critical multiplier ×3). Its hook is a piercing weapon that deals 1d4 points of damage (critical multiplier ×4). You can use either head as the primary weapon. Gnomes treat hooked hammers as martial weapons.</p>
Exotic	Two-Handed Melee 	Harpoon	5 gp	1d6	1d8	×3	10	16	Piercing	Grapple, see text	<p>A harpoon is a barbed spear with an attached rope 50 feet or less in length. Most harpoons have metal points, but some use ivory or are made entirely of wood. If you are proficient with the harpoon, it is a grappling weapon. A harpoon's weight includes 10 pounds for the weight of 50 feet of hemp rope. The weight can be reduced by using shorter or lighter rope. If you are not proficient with a harpoon, treat it like a spear.</p>
Exotic	Two-Handed Melee 	Kusarigama	12 gp	1d2/1d4	1d3/1d6	×2		3	Slashing or bludgeoning	Double, grapple, monk, reach, trip	<p>This weapon has a single kama or sickle held in the off hand, attached by 10 feet of fine chain to a weighted metal ball. The sickle can be used to make trip attacks, jabs, and blocks, while the ball is whipped around at high speeds and then smashed into the opponent, or used to tangle an opponent's sword or spear, allowing the wielder to then attack with the sickle.</p>
Exotic	Two-Handed Melee 	Kyoketsu shoge	6 gp	1d3	1d4	×2	20	1	Slashing or piercing	Disarm, grapple, monk, reach	<p>This weapon consists of a foot-long double-edged blade, with another smaller, curved hook-blade sticking out the side like a rooster's spur. The blade is strung to a large iron hoop with a 10-foot length of rope. The blade can be used as an off-handed melee weapon or thrown like a dagger, while the rope and circlet can be whipped around and swung at opponents as a bludgeoning reach weapon.</p>
Exotic	Two-Handed Melee 	Mancatcher	15 gp	1	1d2			10	Piercing	Reach, see text	<p>This polearm consists of two curved metal bands that close around a target when you attack, allowing you to bind an opponent. A mancatcher is built to capture a creature of a particular size category (such as Small or Medium) and doesn't work on creatures of the wrong size. Make a touch attack to hit an opponent and a combat maneuver check to grapple him (without the –4 penalty for not having two hands free); success means you and the target are grappled. Once the target is grappled, you can perform a move or damage grapple action against him. The mancatcher has hardness 10 and 5 hit points; breaking it requires a DC 26 Strength check. If you drop the mancatcher, the target can free himself as a standard action.</p>
Exotic	Two-Handed Melee 	Meteor hammer	10 gp	1d6	1d8	×2		10	Bludgeoning	Reach, trip	<p>This weapon consists of one or two spherical weights attached by a 10-foot chain. You whirl the weights and wrap them around an opponent's body. If you succeed at a trip attempt with a meteor hammer, you can drag your opponent 5 feet closer to you rather than knocking her prone. You may use this weapon in two different ways: In meteor mode you use it as a double weapon, while in fortress mode you cannot use it as a double weapon but gain reach and a +1 shield bonus to AC. Switching between these two modes is a free action decided at the start of your turn.</p>
Exotic	Two-Handed Melee 	Orc double axe	60 gp	1d6/1d6	1d8/1d8	×3		15	Slashing	Double	<p>A cruel weapon with blades placed at opposite ends of a long haft, an orc double axe is a double weapon. Though invented by and traditionally associated with orcs, the double axe can be crafted and wielded by other races as well, though many disdain it for its extreme weight and clumsiness. Because of the blades at either end of the axe, the wielder must hold an orc double axe in the middle of its haft, and utilize a weaving, slashing fighting style more akin to that of a quarterstaff than to that of a greataxe or battleaxe.</p>
Exotic	Two-Handed Melee 	Seven-branched sword	50 gp	1d8	1d10	×3		7	Slashing	Disarm, monk	<p>This unusual sword has a straight 2-foot-long blade with six shorter L-shaped blades protruding from it, three on each side in a staggered pattern. The shorter blades can be used to snag opponents' clothing or armor, or can target weapons in order to disarm them. To snag armor or clothing, the attacker makes a trip attempt. If successful, the victim doesn't fall prone, but instead is snagged and stumbles forward, leaving the victim flat-footed for the remainder of the round.</p>
Exotic	Two-Handed Melee 	Spiked chain	25 gp	1d6	2d4	×2		10	Piercing	Disarm, trip	<p>A spiked chain is about 4 feet in length and covered in wicked barbs. Some have metal hoops to use as handgrips. You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with a spiked chain sized for you, even though it isn't a light weapon.</p>
Exotic	Two-Handed Melee 	Tetsubo	20 gp	1d8	1d10	×4		10	Bludgeoning		<p>A slight improvement over the greatclub, this weapon consists of a long, slender length of wood or metal whose upper half is shod with a thick sheet of studded iron. The iron gives added weight and strength to the club, while the studs are designed to crack helmets and armor.</p>
Exotic	Two-Handed Melee 	Two-bladed sword	100 gp	1d6/1d6	1d8/1d8	19-20/×2		10	Slashing	Double	<p> A two-bladed sword is a double weapon—twin blades extend from either side of a central, short haft, allowing the wielder to attack with graceful but deadly flourishes.</p>
Exotic	Ranged 	Bolas	5 gp	1d3	1d4	×2	10	2	Bludgeoning	Nonlethal, trip	<p>A bolas is a pair of wooden, stone, or metal weights connected by a thin rope or cord. You can whirl and throw this weapon to make a ranged trip attack against an opponent. You can't be tripped during your own trip attempt when using a bolas.</p>
Exotic	Ranged 	Boomerang	3 gp	1d4	1d6	×2	30	3	Bludgeoning	See text	<p>The boomerang is primarily a hunting tool, but it is not uncommon for these versatile thrown weapons to be carried into battle. A boomerang is made of wood and is flat, with a long haft, a pronounced forward curve, and a sharp backward bend at the head. A hunting boomerang does not fly in a returning path.</p>
Exotic	Ranged 	Double crossbow	300 gp	1d6	1d8	19-20/×2	80	18	Piercing	See text	<p>This heavy weapon fires a pair of iron-tipped bolts with a single squeeze of the trigger. Because of its size and weight, you take a –4 penalty on your attack roll if you're proficient with it, or –8 if you're not. If the attack hits, the target takes damage from both bolts. Critical hits, sneak attack damage, and other precision-based damage apply to only the first bolt. Reloading one bolt is a standard action; the Rapid Reload feat reduces this to a move action. Crossbow Mastery allows you to reload both bolts as a move action. A double crossbow fires crossbow bolts.</p>
Exotic	Ranged 	Halfling sling staff	20 gp	1d6	1d8	×3	80	3	Bludgeoning		<p>Made from a specially designed sling attached to a short club, a halfling sling staff can be used by a proficient wielder to devastating effect. Your Strength modifier applies to damage rolls when you use a halfling sling staff, just as it does for thrown weapons. You can fire, but not load, a halfling sling staff with one hand. Loading a halfling sling staff is a move action that requires two hands and provokes attacks of opportunity.</p><p>A halfling sling staff fires bullets. You can hurl ordinary stones with a halfling sling staff, but stones are not as dense or as round as bullets. Thus, such an attack deals damage as if the weapon were designed for a creature one size category smaller than you and you take a –1 penalty on attack rolls.</p><p>A halfling sling staff can be used as a simple weapon that deals bludgeoning damage equal to that of a club of its size. Halflings treat halfling sling staves as martial weapons.</p>
Exotic	Ranged 	Hand crossbow	100 gp	1d3	1d4	19-20/×2	30	2	Piercing		<p>You can draw a hand crossbow back by hand. Loading a hand crossbow is a move action that provokes attacks of opportunity. A hand crossbow fires standard crossbow bolts, like those used by light and heavy crossbows.</p><p>You can shoot, but not load, a hand crossbow with one hand at no penalty. You can shoot a hand crossbow with each hand, but you take a penalty on attack rolls as if attacking with two light weapons.</p>
Exotic	Ranged 	Kestros	1 gp	1d6	1d8	×3	50	1	Piercing		<p>The kestros is an oddly shaped Bronze Age sling used for launching kestros darts. Your Strength modifier applies on damage rolls when you use a kestros, just as it does for thrown weapons. You can fire—but not load—a kestros with one hand. Loading a kestros is a move action that requires two hands and provokes attacks of opportunity. Halflings treat the kestros as a martial weapon.</p>
