		name	cost	cl	weight	description	reqs	aura
Staff		Staff of souls	32800 gp	8	5	<p>This ominous staff is made of twisting wood and topped with a small skull. It allows use of the following spells:</p><ul><li><i>Deathwatch</i> (1 charge)</li><li><i>Detect undead</i> (1 charge)</li><li><i>Gentle repose</i> (1 charge)</li><li><i>Death ward</i> (2 charges)</li><li><i>Speak with dead</i> (2 charges)</li></ul>	16,400 gp, craft staff, death ward, deathwatch, detect undead, gentle repose, speak with dead	moderate varies
Staff		Staff of speaking	39600 gp	9	5	<p>When the wielder of this hollow wooden staff speaks or shouts, it reverberates with the sound of her voice, lending a booming insistence to her words. It allows the use of the following spells:</p><ul><li><i>Suggestion</i> (1 charge)</li><li><i>Tongues</i> (1 charge)</li><li><i>Denounce</i> (2 charges)</li><li><i>Glibness</i> (2 charges)</li><li><i>Mass suggestion</i> (4 charges)</li></ul>	19,800 gp, craft staff, denounce, glibness, mass suggestion, suggestion, tongues	moderate enchantment
Staff		Staff of spiders	30200 gp	8	5	<p>This staff is constructed from thousands of carefully prepared spiderwebs packed around a base and layered to make a shaft just as hard as oak, if not harder. A <i>staff of spiders</i> functions as a <i>+1/+1 quarterstaff</i>. It allows the use of the following spells:</p><ul><li><i>Spider climb</i> (1 charge)</li><li><i>Web</i> (1 charge)</li><li>Summon spider (as <i>summon monster III</i>, but only summons 1d3 giant spiders; 2 charges)</li></ul>	15,400 gp, craft magic arms and armor, craft staff, spider climb, summon monster iii, web	moderate conjuration and  transmutation
Staff		Staff of stealth	36800 gp	8	5	<p>This twisted, dark gray staff allows use of the following spells:</p><ul><li><i>Disguise self</i> (1 charge)</li><li><i>Invisibility</i> (1 charge)</li><li><i>Nondetection</i> (1 charge)</li><li><i>Greater invisibility</i> (2 charges)</li></ul>	18,400 gp, craft staff, disguise self, greater invisibility, invisibility, nondetection	moderate illusion
Staff		Staff of swarming insects	22800 gp	9	5	<p>Made of twisted darkwood covered with knots and nodules resembling crawling insects (which occasionally seem to move), this staff allows use of the following spells:</p><ul><li><i>Summon swarm</i> (1 charge)</li><li><i>Insect plague</i> (3 charges)</li></ul>	11,400 gp, craft staff, insect plague, summon swarm	moderate conjuration
Staff		Staff of the avenger	37310 gp	10	5	<p>This shining golden staff is topped with a radiant gemstone that emits light like a torch. As a swift action, the wielder of the staff can cause it to change into a <i>+2 lance</i>, although it retains its other abilities. It can be made to revert to its staff form as a free action. The staff allows use of the following spells:</p><ul><li><i>Bless weapon </i>(1 charge, cast on the staff only)</li><li><i>Shield other</i> (1 charge)</li><li><i>Discern lies </i>(2 charges)</li><li><i>Holy sword </i>(4 charges, cast on the staff only)</li></ul>	18,810 gp, craft magic arms and armor, craft staff, bless weapon, discern lies, holy sword, shield other	moderate evocation
Staff		Staff of the hierophant	220000 gp	15	5	<p>The <i>staff of the hierophant </i>is a powerful magic item with the ability to both heal and harm, which also gives its wielder a number of protections. The staff is crafted from platinum and topped with a glowing blue diamond. The staff allows the use of the following spells:</p><ul><li><i>Bless </i>(1 charge)</li><li><i>Cure moderate wounds</i> (1 charge)</li><li><i>Freedom of movement </i>(1 charge)</li><li><i>Hold person</i> (heightened to 5th level, 1 charge)</li><li><i>Prayer</i> (1 charge)</li><li><i>Searing light</i> (1 charge)</li><li><i>Cure critical wounds</i> (2 charges)</li><li><i>Flame strike</i> (2 charges)</li><li><i>Righteous might</i> (2 charges)</li><li><i>True seeing</i> (2 charges)</li></ul><p>The wielder of a <i>staff of the hierophant </i>gains a +2 luck bonus to AC and on saving throws. The staff is also a <i>+2/+2 quarterstaff</i>, and its wielder may use it to smite opponents. If 1 charge is expended (as a free action), the staff deals double damage (-3 on a critical hit) for 1 round.</p><p>A <i>staff of the hierophant </i>can be used to restore the life of a dead creature by calling upon the wielder's deity to take the staff as a blessing. This causes the staff to vanish, but restores life to any one dead creature as if casting <i>true resurrection</i>. In addition, after using this effect, the wielder who triggered it receives a +2 luck bonus on all ability checks, attack rolls, saving throws, and skill checks for 1 day.</p>	110,000 gp, craft magic arms and armor, craft staff, bless, cure critical wounds, cure moderate wounds, flame strike, freedom of movement, heightened hold person, prayer, righteous might, searing light, true resurrection, true seeing	strong varies
Staff		Staff of the master	30000 gp	8	5	<p>Often given as gifts to apprentices upon reaching the rank of master, these staves come in eight different varieties, one for each school of magic. This particular staff is for the school of necromancy. Aside from acting as a <i>+1/+1 quarterstaff</i>, this staff allows use of the following spells:</p><ul><li><i>Ray of enfeeblement</i> (1 charge)</li><li><i>Spectral hand</i> (1 charge)</li><li><i>Vampiric touch</i> (2 charges)</li></ul><p>In addition, this staff can be used to cast spells using any metamagic feats known by the wielder without increasing the spell's level. This consumes a number of charges equal to the number of spell levels increased by the feat. No more than one feat can be applied to a spell cast by the wielder in this way. Using the staff for this purpose does not increase the casting time of the spell.</p>	15,300 gp, craft magic arms and armor, craft staff, ray of enfeeblement, spectral hand, vampiric touch	moderate necromancy
Staff		Staff of the planes	63960 gp	13	5	<p>This obsidian staff twinkles as if reflecting the star-filled sky at night. The staff allows use of the following spells.</p><ul><li><i>Planar adaptation</i> (1 charge)</li><li><i>Planar binding </i>(2 charges)</li><li><i>Plane shift </i>(5 charges)</li></ul><p>If the <i>staff of the planes</i> is fully charged, the wielder can deliberately snap the staff, causing it do shatter into thousands of pieces but opening a <i>gate</i> to a plane of the wielder's choice. This can only be used for planar travel, and the connection lasts for 1 minute, without requiring the wielder's concentration. If used in this way, the staff cannot be repaired or restored.</p>	31,980 gp, craft staff, planar adaptation, planar binding, plane shift	strong conjuration
Staff		Staff of the scout	9600 gp	8	4	<p>This staff is carefully crafted from the branches of a tree, still intertwined as they grew and crowned with living leaves. The staff allows use of the following spells:</p><ul><li><i>Know direction </i>(1 charge)</li><li><i>Pass without trace</i> (1 charge)</li><li><i>Summon nature's ally I </i>(2 charges)</li></ul>	4,800 gp, craft staff, know direction, pass without trace, summon nature's ally i	moderate conjuration
Staff		Staff of the woodlands	100400 gp	13	5	<p>Appearing to have grown naturally into its shape, this oak, ash, or yew staff allows use of the following spells:</p><ul><li><i>Charm animal</i> (1 charge)</li><li><i>Speak with animals</i> (1 charge)</li><li><i>Barkskin</i> (2 charges)</li><li><i>Summon nature's ally VI</i> (3 charges)</li><li><i>Wall of thorns</i> (3 charges)</li><li><i>Animate plants</i> (4 charges)</li></ul><p>The staff may be used as a weapon, functioning as a <i>+2 quarterstaff</i>. The <i>staff of the woodlands</i> also allows its wielder to cast <i>pass without trace</i> at will, with no charge cost. These two attributes continue to function after all the charges are expended.</p>	50,500 gp, craft magic arms and armor, craft staff, animate plants, barkskin, charm animal, pass without trace, speak with animals, summon nature's ally vi, wall of thorns	strong varies
Staff		Staff of toxins	34200 gp	9	5	<p>This length of hemlock-shrouded oak gives off the faintest whiff of rot and corruption. It allows use of the following spells:</p><ul><li><i>Stinking cloud</i> (1 charge)</li><li><i>Cloudkill</i> (2 charges)</li></ul>	17,100 gp, craft staff, cloudkill, stinking cloud	moderate varies
Staff		Staff of transmutation	82000 gp	13	5	<p>This staff is generally carved from or decorated with petrified wood or fossilized bone that has been etched with tiny but complex runes. It allows use of the following spells:</p><ul><li><i>Alter self</i> (1 charge)</li><li><i>Blink</i> (1 charge)</li><li><i>Expeditious retreat</i> (1 charge)</li><li><i>Baleful polymorph</i> (2 charges)</li><li><i>Polymorph</i> (2 charges)</li><li><i>Disintegrate</i> (3 charges)</li></ul>	41,000 gp, craft staff, alter self, baleful polymorph, blink, disintegrate, expeditious retreat, polymorph	strong transmutation
Staff		Staff of traps	56925 gp	8	5	<p>The tip of this dark wooden shaft holds a piece of hard, chalk-like stone between black, clawlike protrusions. The staff allows use of the following spells:</p><ul><li><i>Alarm</i> (1 charge)</li><li><i>Magic mouth</i> (1 charge)</li><li><i>Phantom trap</i> (1 charge)</li><li><i>Explosive runes</i> (2 charges)</li><li><i>Fire trap</i> (2 charges)</li><li><i>Sepia snake sigil</i> (2 charges)</li></ul>	36,525 gp, craft staff, alarm, explosive runes, fire trap, magic mouth, phantom trap, sepia snake sigil	moderate abjuration
Staff		Staff of travel	54400 gp	9	3	<p>This staff appears to be nothing more than a finely made walking stick, but closer inspection reveals that it is inlaid with a fine copper tracery that makes up an intricate and incomprehensible arcane map. The staff allows use of the following spells:</p><ul><li><i>Dimension door </i>(1 charge)</li><li><i>Fly</i> (1 charge)</li><li><i>Teleport </i>(2 charges)</li></ul><p>In addition to these spells, the wielder of the <i>staff of travel</i> receives a +10-foot enhancement bonus to his base speed.</p>	27,200 gp, craft staff, dimension door, expeditious retreat, fly, teleport	moderate conjuration
Staff		Staff of tricks	8800 gp	8	3	<p>This thin staff is made of stiff wood that has been wrapped in colorful bands of cloth and topped with a number of feathers, bells, and other decorative baubles. The staff allows use of the following spells:</p><ul><li><i>Ghost sound </i>(1 charge)</li><li><i>Mage hand</i> (1 charge)</li><li><i>Prestidigitation</i> (1 charge)</li><li><i>Silent image </i>(2 charges)</li></ul>	4,400 gp, craft staff, ghost sound, mage hand, prestidigitation, silent image	moderate illusion
Staff		Staff of understanding	16000 gp	8	5	<p>This polished maple or oak staff is inlaid with ivory strips along its length, and runes of various languages also formed from inlaid ivory span the shaft. It allows use of the following spells:</p><ul><li><i>Comprehend languages</i> (1 charge)</li><li><i>Detect thoughts</i> (2 charges)</li><li><i>Tongues</i> (2 charges)</li></ul>	8,000 gp, craft staff, comprehend languages, detect thoughts, tongues	moderate divination
Staff		Staff of vision	86666 gp	11	5	<p>A clear crystal orb is affixed to the top of this length of brass and scaled skin, and a smaller, crimson orb is set into a spherical ornament near the base of the shaft. The staff allows use of the following spells:</p><ul><li><i>Arcane eye</i> (1 charge)</li><li><i>Arcane sight</i> (1 charge)</li><li><i>See invisibility</i> (1 charge)</li><li><i>Prying eyes</i> (2 charges)</li><li><i>Scrying</i> (2 charges)</li><li><i>True seeing</i> (3 charges)</li></ul>	45,416 gp, craft staff, arcane eye, arcane sight, prying eyes, scrying, see invisibility, true seeing	moderate divination
Staff		Staff of weather	84066 gp	13	5	<p>The carved surface of this solid oaken beam always depicts a scene with the opposite qualities of the current weather (rainy on dry days, dry on rainy days, and so on). It allows use of the following spells:</p><ul><li><i>Fog cloud</i> (1 charge)</li><li><i>Gust of wind</i> (1 charge)</li><li><i>Wind wall</i> (1 charge)</li><li><i>Ice storm</i> (2 charges)</li><li><i>Sleet storm</i> (2 charges)</li><li><i>Control weather</i> (3 charges)</li></ul>	42,033 gp, craft staff, control weather, fog cloud, gust of wind, ice storm, sleet storm, wind wall	strong varies
Staff		Unholy staff	29600 gp	8	5	<p>This twisted iron staff bears ominous stains along its length,  and ends in a black skull with red gemstone eyes. The staff allows use of the following spells:</p><ul><li><i>Align weapon </i>(evil only, 1 charge)</li><li><i>Detect good</i> (1 charge)</li><li><i>Magic circle against good </i>(2 charges)</li><li><i>Unholy blight </i>(2 charges)</li></ul>	14,800 gp, craft staff, align weapon, detect good, magic circle against good, unholy blight	moderate evocation
